,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук Acer Extensa 15 Ryzen 3 3250U/8Gb/SSD256Gb/RX Vega 3/15.6""/TN/FHD/noOS/black",33 528 ₽,15.6,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.9 кг,noOS
Ноутбук Asus M3502QA-L1044W [90NB0XX2-M001J0],60 751 ₽,"15.6""",512 GB,8,6,,,,Windows 11
Ноутбук LENOVO IdeaPad S145-15IIL (i3-1005G1/4Gb/256Gb SSD,49 990 ₽,15.6'',256 Гб,4 ГБ,2 ядра,зарядное устройство; документация; ноутбук,30 Вт*ч,1.85 кг,Windows 10 Home
Ноутбук Asus Vivobook Pro K6500ZC-MA378 [90NB0XK1-M00NE0],94 320 ₽,"15.6""",1 TB,16,6,Ноутбук; Кабель питания,,1.8 кг,noOS
"Ноутбук IRU 14EC3 i3 1115G4/8Gb/SSD256Gb/14.1""/IPS/FHD/DOS",30 590 ₽,"14.1""",256 Гб,8,2-ядерный,"Ноутбук-1шт.,документация-1шт.",4500 мАч,,Free DOS
Ноутбук Gigabyte U4 UD-50RU823SD,127 712 ₽,"14""",512 Гб; 512 GB,16; 16 ГБ,4,зарядное устройство,36 Вт*ч,,DOS
Ноутбук Lenovo IP3 14ITL6,41 839 ₽,14,256 гб,8 гб,2,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",45 Вт*час,1.41 кг,Windows 11 Home
"Ноутбук M3502QA-BQ238 15.6"" , AMD Ryzen 5 5600H",61 772 ₽,15.6,512 Гб,8 ГБ,6,"Ноутбук, блок питания, шнур питания",50 Вт/ч,,Без системы
Ноутбук HP Victus 15-fa0035ci (6X7N2EA),77 688 ₽,"15.6""",512 Гб,16,12,,,,noOS
"Ноутбук HP 15s-eq1136ur Athlon Silver 3050U/4Gb/SSD256Gb/15,6""/IPS/FHD/NoOS/grey",30 025 ₽,"15,6",256 Гб,4,2,Ноутбук - 1 шт,,,не установлена
Ноутбук ASUS N7600PC-L2237W Q4 16.0,107 990 ₽,16,512 Гб,16,4,,,,Windows 11 Home
Ноутбук Iru Калибр 15CLG2,49 057 ₽,"15.6 """,256 Гб,8 ГБ,4,"Ноутбук, кабель питания, документация",4250 мА*ч,1.9 кг,Без ОС
Игровой ноутбук Asus TUF Gaming,183 601 ₽,"15.6 ""; 15.6 дюйм; 15.6",1024; 1024 Гб,16; 16 ГБ; 16 gb,14 ядер; 14,Ноутбук - 1 шт; Игровой ноутбук,,2.2 кг,DOS / без ОС; DOS
"Ноутбук CHUWI Corebook Xpro 15.6''1920X1080,i5-10210U, 16GB+1TB,Win11 HOME",50 390 ₽,"15.6 """,512 GB,16 ГБ,4 ядер,инструкция - 1шт; зарядное устройство - 1шт; гарантиный талон - 1шт; Ноутбук - 1шт,4000 mAh,1.78 кг,Windows 11 Home
"Ноутбук VIVOBOOK 16X 16"" WUXGA 16ГБ/1ТБ SSD Silver",66 542 ₽,16,1 Тб,16,8,ноутбук; адаптер питания; документация,50 Вт·ч,1.88 кг,нет
"Ноутбук HUAWEI MateBook 16"" 53013EUS 16/512 GB, серебристый",76 563 ₽,16,512 Гб,16,8,Ноутбук - 1шт.; ЗУ - 1шт.; Гарантийный талон - 1шт.; Инструкция - 1шт.,,1.7 кг,Windows
Ноутбук VivoBook F415EA Grey (90NB0TT2-M00BM0),27 990 ₽,"14""",128 Гб,4 Гб,2,блок питания; инструкция,37 Втч,1.55 кг,Windows
Ноутбук Lenovo,112 392 ₽,15.6 '',256 Гб,8 ГБ,4,ноутбук; адаптер питания; документация,,1.7 кг,DOS
"Ноутбук Tecno MEGABOOK T1/ i5 16/512GB/15.6""/Win 11",45 990 ₽,15.6,512G,16 ГБ,4,,"3-элементный, 70 Вт·ч",1.48 кг,Windows 11 Home
"Ноутбук HP Pavilion 14-ec1021ci 14"" (6M870EA)",56 256 ₽,"14""",1 TБ,16,8,,,,Windows
Ноутбук X509FA-BR350 Slate Grey (90NB0MZ2-M19580),42 990 ₽,"15,6",256 Гб,8 Гб,4,Блок питания; Инструкция,32 Втч,1.9 кг,нет
MacBook Air 13” Late 2020,118 800 ₽,13”,256 Гб,8 ГБ,8,,,,macOS
"Игровой ноутбук TUF Dash F15 15.6"" 16ГБ/1ТБ/3050/DOS",125 965 ₽,15.6,1 Тб,16,10,документация; адаптер питания; ноутбук,76 Вт/ч,2 кг,Без операционной системы
Ноутбук Acer Extensa 15,38 526 ₽,15.6,512 Гб,8,2,Ноутбук - 1 шт,,1.9 кг,Windows 10 Home
"Ноутбук Acer Swift 3 SF313-53G-501C Core i5 1135G7/8Gb/SSD512Gb/13.5""/IPS/QHD/MX 350 2Gb/noOS/silver",49 435 ₽,13.5,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.2 кг,NoOC
"Ноутбук IRU 14EC5 i5 1135G7/8Gb/SSD256Gb/14.1""/IPS/FHD/DOS",37 790 ₽,"14.1""",256 Гб,8,4-ядерный,"Ноутбук-1шт.,документация-1шт.",4500 mAh,,Free DOS
"Ноутбук HP 255 G8 Silver 15.6""5 5500U/8Gb/256Gb/DOS(45R74EA)",62 880 ₽,15.6,256,8 ГБ,6,"Ноутбук, блок питания, документация",,1.74 кг,Без системы
Ноутбук ZenBook UX5400EA-KN274W Pine Grey (90NB0TA3-M002U0),94 990 ₽,"14""",512 Гб,8 ГБ,4,Ноутбук; Блок питания; Инструкция,63 Втч,1.4 кг,Windows
"Ноутбук Lenovo ThinkPad X1 G9 14"" i7/16Gb/512SSD/LTE/W11H",268 090 ₽,14,512,16 ГБ,8,"Ноутбук, документация, блок питания",,1.53 кг,Windows Home
"Игровой ноутбук TUF Dash F15 15.6"" 16ГБ/1ТБ/3060/DOS",136 416 ₽,"15,6",1 Тб,16,10,документация; адаптер питания; ноутбук,76 Вт/ч,2 кг,Без операционной системы
"Ноутбук Acer Swift 3 SF314-511 Core i3 1115G4/8Gb/SSD256Gb/14""/IPS/FHD/Win10/red",66 490 ₽,14,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.2 кг,Windows 10 Home
"Ноутбук CHUWI Corebook X 14'',Intel i3-1215U, Win11 HOME",36 690 ₽,"14""",512 Гб; 256 Гб,8 ГБ; 16 ГБ,6,инструкция - 1шт; гарантиный талон - 1шт; Ноутбук - 1шт; блок питания,4000 mAh,1.5 кг,Windows
"Ноутбук ASUS VivoBook 15 X513EA-BQ513 Core i5 1135G7/8Gb/SSD512Gb/15.6""/IPS/FHD/noOS/black",52 252 ₽,15.6,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.8 кг,NoOC
Xiaoxin Air14 R5 5500U 16ГБ 512 ГБ,116 492 ₽,14.0,512 Гб,16 ГБ,6,,56.5Wh,1.28 кг,Windows 11 Pro
"Ноутбук AZ-1508 15.6""/4x1.1GHz/16Gb/1Tb",40 061 ₽,"15.6""",1024 гб,16 ГБ,4,"Ноутбук, блок питания",4000,2.2 кг,Windows
"Ноутбук HP 240 G8 Core i5-1035G1/8Gb/SSD256Gb/14""/IPS/FHD/Win10/Dar Silver",49 254 ₽,14,256 Гб,8,4,Ноутбук - 1 шт,,1.47 кг,Windows 10 Pro
"KUU Yepbook Pro(Intel N5095/16Gb+512Gb/15,6""/Windows 11 Pro)",31 500 ₽,"15.6""",512 Гб,16 ГБ,4 ядра,ноутбук; блок питания; инструкция; гарантийный талон,4500 мА*ч,2 кг,Windows 11 Pro
"Ноутбук Acer TravelMate P2 Pentium Gold 6405U/8Gb/SSD256Gb/14""/IPS/FHD/Win10Pro/black",39 760 ₽,14,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.9 кг,Windows 10 Pro
Ноутбук Acer Extensa 15 EX215-52-36B9 NX.EG8ER.002,41 293 ₽,"15.6""",512 гб,8 гб,2,Ноутбук; зарядное устройство; документация,,1.9 кг,DOS
Ноутбук Apple Macbook Pro 13 A1708 256GB MPXU2,131 525 ₽,"13,3",256 Гб,8 ГБ,,,,,Mac OS
"Ноутбук ASUS ExpertBook P1 i5/8Gb/512SSD/15.6""FHD/W11",79 090 ₽,15.6,512,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.73 кг,Windows Home
Ноутбук Lenovo IdeaPad L3 15ITL6 82HL00ESRU,55 341 ₽,"15,6 """,256 Gb,8 GB,2,ноутбук; блок питания; Сетевой кабель; инструкция,36 Вт*ч,2 кг,Windows 11
Ноутбук VICTUS 16-e0149ur 16.1 638F4EA RTX 3050 Ti РОСТЕСТ,95 299 ₽,16.1; 40.9 см,512 Гб,16 ГБ,6,ноутбук; зарядное устройство; документация,70 Wh,2.46 кг,Windows
"Ноутбук IdeaPad 3 15,6"" FHD IPS/i5-1135G7 8/512ГБ SSD/UMA",63 549 ₽,15.6,512 Гб,8,4,ноутбук; зарядное устройство; документация,36 Вт-ч,2.2 кг,Без системы
Ноутбук Lenovo ThinkBook 14 Gen 3,71 479 ₽,14,512 Гб,8 ГБ,8,,45 Вт*ч,1.5 кг,нет
"Ноутбук для работы и учебы ASUS ExpertBook B1 15.6""",59 990 ₽,15.6,256 Гб,8 ГБ,2,,42 Втч,1.73 кг,Windows 11 Home
Legion R9000K-R7 5800H 16G+1T RTX 3060 6G,268 194 ₽,16.0,1024,32 ГБ,8,,,2.5 кг,Windows 11 Pro
"Ноутбук MSI Modern14 14""i5/16Gb/512SSD/9S7-14J112 -263",96 620 ₽,14,512,16 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Pro
Ноутбук Lenovo V15-ALC G2 82KD002SRU,56 959 ₽,"15.6""",512 Гб,8 ГБ,8,"документация, адаптер питания",38 Вт*ч,1.7 кг,Free DOS
"Ноутбук HP Victus 16-e0143ur 16.1""/16 GB [65B10EA]",108 564 ₽,"16.1""",1 Тб,16,8,,,,noOS
Swift 1 SF114-33 серебристый,41 480 ₽,14,256 Гб,4,2,,,,
"Ноутбук HUAWEI MateBook 15.6"" 53013ERX 16/512 GB, серый",62 656 ₽,"15.6""",512 Гб,16,4,Ноутбук - 1шт.; ЗУ - 1шт.; Гарантийный талон - 1шт.; Инструкция - 1шт.,,1.56 кг,Windows
Ноутбук Acer Nitro 5 AN515-57 I5165SGN (NH.QBWER.005),55 738 ₽,"15.6""",512 Гб,16,6,,,,noOS
Ноутбук Acer Nitro 5 AN515-46 [NH.QGYER.003],88 084 ₽,"15.6""",512 Гб,16,8,,,,noOS
Ноутбук IdeaPad 3 (82H8024NRK),35 940 ₽,"15.6""",256 Гб,8 ГБ,2,ноутбук; блок питания; инструкция,38 Втч,1.65 кг,отсутствует
"Ноутбук ASUS 14""FHD i3/4Gb/256SSD/DOS (90NB0W12-M00160)",47 210 ₽,14,256,4 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.4 кг,Без системы
"Ноутбук Lenovo V15 G2 ITL 15.6"" FHD i3/8Gb/256SSD/W10Pro",93 350 ₽,15.6,256,8 ГБ,2,"Ноутбук, документация, блок питания",,1.7 кг,Windows Pro
"Ноутбук IdeaPad L3 15,6"" FHD/Pen Gold 7505/4/256ГБ SSD/W10",39 318 ₽,15.6,256 Гб,4,2,ноутбук; документация; зарядное устройство,36 Вт-ч,2.2 кг,Windows 10 Home
"Ноутбук Acer Aspire 3 A315 Core i5 8Gb SSD512Gb 15.6"" IPS",54 000 ₽,15.6,512 гб,8 гб,4,"ноутбук, документация",,1.7 кг,DOS
"Ноутбук 15"" Lenovo IdeaPad 3 Core i5 8ГБ SSD 256ГБ синий",41 840 ₽,15.6,256 Гб,8,4,"ноутбук, адаптер питания, документация",,1.7 кг,DOS
Ноутбук Hiper WORKBOOK A1568K A1568K1135W1,53 211 ₽,"15.6""",512 гб,8 гб,4,ноутбук; зарядное устройство; документация,3350 мАч,1.5 кг,Windows 10 Pro
Ноутбук Lenovo Ideapad 1 15.6 FHD IPS AMD Ryzen 3 7320U,46 900 ₽,"15,6",256; 256 Гб; 256 Gb,4; 4 ГБ,4 ядра 8 потоков; 4 ядра; 8 потоков,,42; 42 вт*ч,1.6 кг,Microsoft Windows
CHUWI GemiBook X 8Gb/256Gb 4C4T4,33 898 ₽,"15,6",256 Гб,8,2 ядра,,,,Windows
"Ноутбук AZ-1512 15.6""/4x2GHz/16Gb/512Gb",28 025 ₽,15.6,512 Гб,16 ГБ,4,"ноутбук, блок питания",4500mAh,1.9 кг,Windows
Ноутбук IdeaPad 3 i5 1235U 8ГБ 512SSD 15.6 Win11,54 600 ₽,"15,6",512 Гб,8 ГБ,10,,38 Втч,1.62 кг,Windows 11 Home (x64) SL
Ноутбук HIPER DZEN 7QEKH4OD,84 217 ₽,"15,6",512 Гб,16 ГБ,4,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Windows
"Ноутбук HP 255 G8 15.6"" FHD Ryzen 5 5500U/8Gb/256Gb SSD/DOS",71 310 ₽,15.6,256,8 Гб,6,"Ноутбук, блок питания",,1.74 кг,Без системы
"Ноутбук MSI Modern 14 Corei5/8Gb/SSD512/14""IPS FHD/DOS",57 730 ₽,14,512,8 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Без системы
Ноутбук Hiper WORKBOOK MTL1585W1115DS,48 613 ₽,"15.6""",512 гб,8 гб,2,ноутбук; зарядное устройство; документация,5000 мАч,1.7 кг,DOS
"Ноутбук Hiper DZEN MTL1569,цвет серый",45 190 ₽,"15.6""",256 Гб,8,2-ядерный,"Ноутбук-1шт.,инструкция-1шт., гарантийный талон-1шт.",5700 ма*ч,,Windows 10
Ноутбук Acer Aspire A315-23-R8WC (8ГБ),42 919 ₽,"15.6""",256 Гб,8 ГБ,4,"документация, адаптер питания",36 Вт*ч,1.9 кг,нет; отсутствует
"Ноутбук Lenovo Thinkbook 15-ITL Core i3 1115G4/8Gb/SSD256Gb/15.6""/IPS/FHD/Win11Pro/grey",49 758 ₽,15.6,256 Гб,8,2,Ноутбук - 1 шт,,1.7 кг,Windows 11 Pro
Ноутбук HIPER WORKBOOK U9D2LKF,47 552 ₽,"15.6""",256 Гб,8 ГБ,4,"ноутбук, блок питания, документация",5000 мА*ч,1.6 кг,Без ОС
"Ноутбук Acer Predator Triton 300 Core i5 11300H/8Gb/SSD512Gb/RTX 3060/14""/IPS/FHD/noOS/silver",85 483 ₽,14,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.8 кг,NoOC
"Ноутбук 15.6"" S7-DA7NP",76 880 ₽,"15.6""",512 Гб,16 ГБ,10,документация,,2.15 кг,noOS
"Ноутбук HASEE T8-DA5NP+, 16"", Intel i5 12500H, 16ГБ, 512ГБ",102 290 ₽,"16""",512 Гб,16 ГБ,12-ядерный,"ноутбук- 1шт, зарядное устройство - 1шт, документация - 1шт",3410 mAh,2.15 кг,Free DOS
Ноутбук Acer Predator Triton PT516-52S (NH.QFQER.002),143 983 ₽,"16""",1 Тб,16,14,,,,Windows
"15.6"" Ноутбук Acer Aspire 3 A315-42-R4WX черный",65 500 ₽,15.6,256 гб,8 гб,4,"ноутбук, провод питания, документация",,,Linux
Ноутбук Lenovo IdeaPad Gaming L340-15IRH 81LK01R7RK,86 560 ₽,"15.6""",512 гб,16 гб,6,Ноутбук; зарядное устройство; документация,,2.2 кг,DOS
Ноутбук Acer Nitro 5 AN515-46 (NH.QGYER.009),75 164 ₽,"15.6""",512 Гб,8,,,,,noOS
"Ноутбук HP ProBook 450 G8 15.6"" i3-1115G4/8Gb/256Gb SSD/DOS",90 600 ₽,15.6,256,8 Гб,4,"Ноутбук, блок питания",,1.74 кг,Без системы
"Ноутбук Lenovo V15 G1 IML 15.6"" i5/8/256(82NB003LUK)",65 390 ₽,15.6,256,8 ГБ,4,"Ноутбук, блок питания, документация",,1.85 кг,Windows Pro
Ноутбук Acer Extensa 15 Ryzen 5 3500U/8Gb/SSD512Gb/RX Vega 8/15.6/TN/FHD/Win10Pro/black,49 512 ₽,15.6,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,2 кг,WIN10 Pro
Ноутбук ThinkPad X12 Detachable (20UVS0HX00),166 990 ₽,"12.3""",256 Гб,16,4,Блок питания; кабель USB; скрепка для SIM-карты; инструкция,42 Втч,1.2 кг,Windows 10 Pro
"Ноутбук HP Pavilion 14"" Ryzen 5 8 гб SSD 512 Win 10",68 040 ₽,14,512 Гб,8 ГБ,6,ноутбук; адаптер питания; документация,3749 мАч; 43 Втч,1.4 кг,Windows 10 Home
"Ноутбук Travel Mate P214-52-335A (i3 10110U/4Gb/1Tb HDD/14""FHD/UMA/Win10) NX.VLHER.00P",34 295 ₽,14'',нет,4 ГБ,2 ядра,зарядное устройство; документация; ноутбук,4343 мА*ч,1.63 кг,Windows 10 Pro
Ноутбук HP Victus 16-e1050ci/16.1 FHD/RTX 3060 [6M882EA],90 350 ₽,"16.1""",1 Тб,16,12,,,,noOS
"Ноутбук Lenovo ThinkBook 14 G3 ITL 14"" i5/512(21A3000SCD)",106 430 ₽,14,512,16 ГБ,4,"Ноутбук, блок питания, документация",,1.4 кг,Windows Home
Apple MacBook Pro 16.2 Z14V0008J (Русская версия EAC),281 988 ₽,"16.2""",1000,32,10,,,,macOS
Ноутбук Digma 8GB/256GB SSD/W11 (NCN158CXW01),31 430 ₽,15.6,256,8 ГБ,2,"Ноутбук, блок питания, документация",,1.54 кг,Windows Home
"Ноутбук НР 250 G9 i5-1235U/8Gb/256SSD/15.6""FHD/DOS (6F1Z9EA)",51 000 ₽,15.6,256,8 ГБ,10,"Ноутбук, документация, зарядный блок",,1.74 кг,Без системы
"Ноутбук MacBook Pro 16 i9-9880H/16Gb/SSD1Tb/16""WQXGA/AMD Pro 5500M (2019) (MVVK2RU/MVVM2RU)",204 793 ₽,16'',1024 Гб,16 ГБ,8,блок питания; документация; ноутбук,8790 мА*ч,2 кг,macOS
Ноутбук Hiper WORKBOOK MTL1585W1135W1,67 712 ₽,"15.6""",512 гб,16 гб,4,ноутбук; зарядное устройство; документация,5000 мАч,1.7 кг,Windows 10 Pro
"15.6"" Ноутбук Acer Nitro 5 AN515-57 черный",76 500 ₽,15.6,256 гб,8 гб,6,"ноутбуки, документация, провод питания",,,без ОС
Ноутбук Lenovo 15ITL6 82HL003CRK,48 749 ₽,15.6,512 Гб,8 GB,2 шт,зарядно устройство-1шт; Ноутбук - 1,4500 мА*ч,2 кг,Windows 11 Pro
"Ноутбук Lime 15,6 CN1-156P",45 315 ₽,15.6,256 Гб,8,4,Ноутбук - 1 шт,,1.8 кг,Windows 10 Pro
"Ноутбук Xiaomi RedmiBook 14"" Enhanced Edition",75 146 ₽,14,512 гб,8,4,"ноутбук, зарядное устройство",,,Windows 10 Home
"Ноутбук M6500QH-HN089 15,5"", AMD Ryzen 7 5800H",77 316 ₽,15.5,512 Гб,16 ГБ,8,"Ноутбук, кабель, документация",50 Вт/ч,1.8 кг,Без системы
"Ноутбук TP1401KA-EC022W 14"", Intel Pentium N6000",59 021 ₽,14,256 Гб,8 ГБ,4,"ноутбук, документация, зарядное устройство",39 Вт/ч,1.45 кг,Windows Home
Ноутбук Игровой TUF Gaming F15 FX506LH Англ клавиатура,60 350 ₽,15.6,512 Гб,8 ГБ,,,48 Вт⋅ч,,Windows 11
Ноутбук Asus Vivoobook S M3502RA-MA071 [90NB0WL2-M002Z0],81 060 ₽,"15.6""",1 Тб,16,8,,,,noOS
Ноутбук Lenovo V14-IGL,60 300 ₽,14 дюйм,256 Гб,4 ГБ,4 ядра,,35 Втч,1.6 кг,
"Ноутбук Lenovo V15-IIL 15.6"" FHD i5/8Gb/512SSD/DOS",64 850 ₽,15.6,512,8 ГБ,4,"Ноутбук, документация, блок питания",,1.85 кг,Без системы
"Ноутбук Xiaomi Mi Notebook Pro 15.6"" Enhanced Edition 2019",87 717 ₽,"15,6",512 Гб,8,4,"Ноутбук, зарядное устройство",,,Windows 10 Home
"15.6"" Ноутбук IRBIS NB515",33 071 ₽,15.6″,512 Гб,8,2,"ноутбук, документация, адаптер питания",3350,1.71 кг,Windows 10
Ноутбук Nitro 5 AN517-54-558N (NH.QFCER.001),129 990 ₽,"17.3""",256 Гб,8,6,Блок питания; инструкция,,2.7 кг,Без системы
Ноутбук Aspire 3 i3 1215U/8ГБ/512SSD/15.6/DOS,85 990 ₽,15.6,512 Гб,8,6,,,1.7 кг,noOS; DOS; не установлено
"Ноутбук игровой MSI ThinGF63 15.6""i7/16Gb/512SSD/RTX1650/DOS",109 550 ₽,15.6,512,16 ГБ,8,"Ноутбук, зарядное устройство, документация",,1.86 кг,Без системы
Ноутбук Iru Калибр 15Y 1738018,68 915 ₽,"15.6""",240 гб,8 гб,4,ноутбук; зарядное устройство; документация,8000 мАч,1.8 кг,DOS
"Ноутбук IRU Калибр 15EC3,цвет черный",39 490 ₽,"15,6""",512 гб,16,2-ядерный,"Ноутбук-1шт., инструкция-1шт.",7200 мач,,Free DOS
